Nomor,RR,RR_pred
0,0.0,5.519923411309719
1,9.296296296,7.770867604762316
2,13.805882349999997,21.401355408132076
3,1.5,14.9096638597548
4,155.0,15.01828632876277
5,44.5,11.775622917339206
6,17.59285714,5.6346683241426945
7,1.3,7.634825684130192
8,0.0,13.313072014600039
9,14.0,24.092632479965687
10,0.0,11.046870019286871
11,1.3,13.189013376832008
12,1.6999999999999997,14.28263434767723
13,34.8,10.344476033002138
14,32.6,19.908112317323685
15,22.6,6.306366853415966
16,12.28,5.753568442538381
17,15.3,8.08016324043274
18,26.199999999999996,10.837134327739477
19,0.0,0.1760600209236145
20,0.0,4.075898436829448
21,0.0,-0.3426784873008728
22,0.0,4.270802920684218
23,4.5,6.94116573035717
24,6.228571429,8.202680490911007
25,4.9,13.331750001758337
26,0.3,7.220449648797512
27,0.0,8.638366911560297
28,18.2,9.99504561536014
29,17.23333333,5.065330099314451
30,0.0,0.4006655663251877
31,4.7,6.866329668089747
32,0.4272727270000001,0.5387914068996906
33,2.4,7.809620786458254
34,0.5,22.148131538182497
35,1.9,8.96517594717443
36,0.0,0.7139937803149223
37,17.34444444,12.882104884833097
38,4.3928571430000005,1.6828619688749313
39,0.0,6.872671354562044
40,1.0,6.847637560218573
41,0.0,0.6183697991073132
42,22.0,10.937006413936615
43,8.2,11.875309204682708
44,42.1,11.27361299470067
45,2.8,8.57743826508522
46,3.2,6.790300777181983
47,0.4,0.8530411832034588
48,19.61875,17.414944387972355
49,0.0,0.9002757109701633
50,0.0,0.3260844200849533
51,0.0,10.396866107359529
52,0.1,0.39375830814242363
53,24.24210526,17.190833810716867
54,13.884,7.286671333014965
55,10.7,6.123262083157897
56,0.0,0.4643767364323139
57,0.0,8.722031392157078
58,2.0,12.525206096470356
59,27.15909091,17.883603416383266
60,16.0,12.895089995115995
61,0.059090909,0.7698255926370621
62,0.0,0.3779074363410473
63,17.832,12.140203373506665
64,11.8,16.023602306842804
65,1.3,13.300306890159845
66,1.0,0.5484930798411369
67,16.51111111,22.48039934411645
68,14.0,8.039838200435042
69,25.199999999999996,26.84439079463482
70,5.2,8.182150460779667
71,0.325,44.90023420751095
72,0.3,8.671514170244336
73,6.4,12.66602973639965
74,0.0,0.5556812658905983
75,1.5,16.309928745031357
76,1.6999999999999997,12.496240798383951
77,0.0,7.464558871462941
78,2.0,0.8676405139267445
79,2.0,13.011982742697
80,13.884,13.935325752943754
81,0.0,4.506515521556139
82,45.0,19.432978570461273
83,25.4,16.598006151616573
84,0.0,7.211601164191961
85,10.1,10.579736027866602
86,0.0,7.02509999088943
87,4.8,6.153021113947034
88,18.19047619,11.281749498099089
89,0.0,0.5188262052834034
90,17.59285714,14.195653729140759
91,0.0,0.3414968065917492
92,0.0,0.41116543114185333
93,0.0,0.834186315536499
94,61.3,25.89016355574131
95,3.7,16.100566137582064
96,62.10000000000001,38.67429596185684
97,16.9,19.02493604645133
98,1.0,5.428506659343839
99,0.0,9.802350651472807
100,2.0521739130000003,9.300562201067805
101,11.70769231,10.923975225538015
102,1.0,7.107062553986907
103,42.4,20.37614557519555
104,0.0,5.372871050611138
105,0.0,6.88134890422225
106,57.89999999999999,18.170112680643797
107,21.9,23.15540212020278
108,55.3,13.65402926132083
109,1.3,0.5192825272679329
110,7.585714286,7.950573742389679
111,5.2,20.692873165011406
112,34.15238095,13.302194606512785
113,7.5,18.05260308086872
114,6.6,34.532485753297806
115,22.03157895,6.975863294675946
116,26.800000000000004,12.318275224417448
117,4.0,12.206705242395401
118,19.61875,6.182042151689529
119,3.5,10.230941785499454
120,0.0,5.5196558609604836
121,0.0,13.332595758140087
122,22.06470588,12.953466508537531
123,6.6,14.751409314572811
124,0.0,7.662215407937765
125,0.7,9.053187377750874
126,0.4,8.565654158592224
127,22.50769231,9.507389768958092
128,0.0,6.309133026748896
129,9.8125,5.464802093803883
130,0.4272727270000001,2.072776470333338
131,31.699999999999996,15.738308910280466
132,20.33125,10.854221876710653
133,0.0,1.3848465532064438
134,0.0,11.257870629429817
135,9.845454545,5.921514255926013
136,0.0,0.26242081448435783
137,75.1,80.50973497331142
138,110.20000000000002,22.431503031402826
139,18.0,15.974735721945763
140,0.0,9.880304418504238
141,4.6,18.326885294169188
142,38.4,34.90068854391575
143,21.7,12.24384717643261
144,17.59285714,42.01077961921692
145,16.8,16.56178132072091
146,10.2,20.054859224706888
147,0.0,4.17789457552135
148,4.0,11.694549959152937
149,4.3928571430000005,1.9719129614531994
150,8.582142857000001,6.665032960474491
151,20.665,6.491491628810763
152,4.4,10.79859221354127
153,7.6875,10.77692212164402
154,0.0,3.7639897260814905
155,13.884,12.201375044882298
156,10.0,16.389364443719387
157,15.3,7.957944754511118
158,3.5,14.250277105718851
159,0.0,5.5546009093523026
160,32.7,6.632107174023986
161,0.4,8.03639274649322
162,8.8,2.3924307636916637
163,0.4272727270000001,12.092763723805547
164,0.0,0.49972905591130257
165,46.7,19.888150088489056
166,0.0,0.8001598566770554
167,0.7,11.783821849152446
168,12.4,6.463780844584107
169,0.0,7.5868472177535295
170,8.8,6.767582036554813
171,0.0,9.343698749318719
172,7.5,11.427267160266638
173,9.845454545,6.717483976855874
174,0.0,5.969758043065667
175,42.2,43.89359088242054
176,3.3999999999999995,9.214136006310582
177,0.0,5.815730793401599
178,9.4,13.114074010401964
179,5.2,21.144979745149612
180,19.4,8.425274206325412
181,7.1,9.005094459280372
182,0.059090909,0.7900523990392685
183,13.805882349999997,13.16015063971281
184,0.0,7.27988001331687
185,2.3,34.45500019937754
186,53.3,9.739413890987635
187,9.9,18.473334923386574
188,0.325,0.6174868829548359
189,4.3928571430000005,2.5501175075769424
190,0.2,5.627425141632557
191,11.7,10.214779514819384
192,9.0,9.10993629321456
193,13.805882349999997,8.796235738322139
194,79.3,72.1374840438366
195,17.71428571,9.971924062818289
196,1.8000000000000003,5.898342909291387
197,8.541176471,12.159478889778256
198,8.2,9.212558945640922
199,0.0,0.4813646972179413
200,2.658823529,6.579223617911339
201,18.75,9.390250280499458
202,28.199999999999996,18.467757984995842
203,0.0,8.74969907104969
204,44.2,14.87363077327609
205,7.6,21.929832749068737
206,8.339130435,6.373556178063154
207,9.432,7.95964964479208
208,1.3,16.08220475167036
209,0.0,21.161484628915787
210,18.19047619,7.294453332200646
211,16.99047619,9.95478374697268
212,36.2,31.720882371068
213,0.1,12.137786502018571
214,0.0,6.149447087198496
215,36.82941176,15.353315848857164
216,13.51818182,6.395258970558643
217,0.1,6.691133983433247
218,4.0,19.632044948637486
219,17.59285714,29.95420876890421
220,4.7,16.312645867466927
221,13.900000000000002,19.02750750258565
222,0.0,0.3163634240627289
223,0.0,6.610990019515157
224,0.325,0.5193300917744637
225,23.1,9.9814399369061
226,0.0,11.150032231584191
227,63.3,16.02292302623391
228,53.39999999999999,15.98905709758401
229,0.0,12.694883555173874
230,88.7,14.049856625497341
231,2.4,7.522325221449137
232,12.91071429,8.330730088055134
233,44.6,66.36884880065918
234,7.6875,8.821844022721052
235,0.0,5.863726353272796
236,11.8,11.13919272646308
237,0.0,10.04102934524417
238,28.39545455,15.5401596352458
239,0.0,16.84031907096505
240,0.6,14.796809636056423
241,0.0,1.0011912435293198
242,8.8,25.543992049992085
243,51.7,17.577609054744244
244,8.541176471,21.04247823357582
245,13.3,10.231861861422658
246,43.5,9.536175213754177
247,22.50769231,21.98867004364729
248,0.0,1.3838462121784687
249,11.95185185,9.755732232704759
250,0.0,2.9113506115972996
251,17.34444444,14.537092566490173
252,19.27894737,7.685143729671836
253,112.49999999999999,33.61312924325466
254,16.5,6.825291160494089
255,3.035714286,1.2270230613648891
256,1.5,13.272882979363203
257,8.1,13.486964877694845
258,16.51111111,17.729666836559772
259,44.9,16.54161099717021
260,93.0,30.09980669617653
261,0.0,1.9221099503338337
262,0.0,6.516466710716486
263,58.10000000000001,9.252846825867891
264,15.7,10.460458366200328
265,0.2,5.69039311632514
266,2.658823529,5.101997131481767
267,39.5,19.12021815776825
268,18.75,19.922708675265312
269,57.5,6.163712723180652
270,13.51818182,17.45596431568265
271,0.0,0.7227426767349243
272,8.0,13.237584169954062
273,0.1,15.300736259669065
274,0.0,3.684505719691515
275,15.02307692,9.156112510710955
276,0.0,0.5667444728314877
277,2.0,4.64138245023787
278,22.50769231,41.50134591758251
279,0.0,0.7537131160497665
280,7.5,11.643633641302586
281,8.642857142999999,6.255744840949774
282,15.163157890000003,15.773187071084976
283,0.0,0.6448929570615292
284,3.5,12.660931415855885
285,0.0,6.1761530712246895
286,15.3,9.64905470609665
287,23.9,28.455573052167892
288,39.9,23.58314824104309
289,35.7,26.773323476314545
290,9.845454545,20.47051504254341
291,0.0,11.788503237068653
292,0.0,0.9072870165109634
293,15.9125,15.165308218449354
294,9.8125,7.072185136377811
295,8.4,7.620824625715613
296,55.39999999999999,13.609609957784414
