index,index0,loss,index1,acc,index2,valloss,index3,valacc
0,0.0,0.011029337818767693,0.0,0.23189009159034135,0.0,0.008552830729089427,0.0,0.2172284644194757
1,1.0,0.010548258787695688,1.0,0.23189009159034135,1.0,0.008524580457516378,1.0,0.2172284644194757
2,2.0,0.010197605061744936,2.0,0.23189009159034135,2.0,0.008008855517102538,2.0,0.2172284644194757
3,3.0,0.009844846256149214,3.0,0.23189009159034135,3.0,0.008093325245065078,3.0,0.2172284644194757
4,4.0,0.009811282905243605,4.0,0.23189009159034135,4.0,0.008023548412593675,4.0,0.2172284644194757
5,5.0,0.009774680911244624,5.0,0.23189009159034135,5.0,0.007887771115934803,5.0,0.2172284644194757
6,6.0,0.009656554157787515,6.0,0.23189009159034135,6.0,0.0078675669760963,6.0,0.2172284644194757
7,7.0,0.009622582959105805,7.0,0.23189009159034135,7.0,0.007839732107528474,7.0,0.2172284644194757
8,8.0,0.009526825033060021,8.0,0.23189009159034135,8.0,0.007963353909259095,8.0,0.2172284644194757
9,9.0,0.009823587436448443,9.0,0.23189009159034135,9.0,0.007856367687844716,9.0,0.2172284644194757
10,10.0,0.009520405866042846,10.0,0.23189009159034135,10.0,0.00790751257506705,10.0,0.2172284644194757
11,11.0,0.009494051932792284,11.0,0.23189009159034135,11.0,0.008150782723900643,11.0,0.2172284644194757
12,12.0,0.009432804897167005,12.0,0.23189009159034135,12.0,0.008192402143240645,12.0,0.2172284644194757
13,13.0,0.0096898855646137,13.0,0.23189009159034135,13.0,0.007931974936234817,13.0,0.2172284644194757
14,14.0,0.00934036615883139,14.0,0.23189009159034135,14.0,0.007907690959965134,14.0,0.2172284644194757
15,15.0,0.00943215235694923,15.0,0.23189009159034135,15.0,0.008512845564605702,15.0,0.2172284644194757
16,16.0,0.00935799997293318,16.0,0.23189009159034135,16.0,0.00769244832918048,16.0,0.2172284644194757
17,17.0,0.009285667414880116,17.0,0.23189009159034135,17.0,0.00770103114165282,17.0,0.2172284644194757
18,18.0,0.009255498937710336,18.0,0.23189009159034135,18.0,0.008088434676636247,18.0,0.2172284644194757
19,19.0,0.009647913411181912,19.0,0.23189009159034135,19.0,0.0076337622754164185,19.0,0.2172284644194757
20,20.0,0.00926623024989763,20.0,0.23189009159034135,20.0,0.007620362484695091,20.0,0.2172284644194757
21,21.0,0.009162684989012126,21.0,0.23189009159034135,21.0,0.007546878189601925,21.0,0.2172284644194757
22,22.0,0.008995868404241563,22.0,0.23189009159034135,22.0,0.008093593099716115,22.0,0.2172284644194757
23,23.0,0.009117286126082804,23.0,0.23189009159034135,23.0,0.0075303758825925405,23.0,0.2172284644194757
24,24.0,0.008968715790929048,24.0,0.23189009159034135,24.0,0.007731906595301539,24.0,0.2172284644194757
25,25.0,0.008882799912026954,25.0,0.23189009159034135,25.0,0.007419074653588542,25.0,0.2172284644194757
26,26.0,0.00905974712608604,26.0,0.23189009159034135,26.0,0.007458618385124294,26.0,0.2172284644194757
27,27.0,0.009050207302368005,27.0,0.23189009159034135,27.0,0.007451309805059255,27.0,0.2172284644194757
28,28.0,0.008713610119788872,28.0,0.23189009159034135,28.0,0.008700704315419167,28.0,0.2172284644194757
29,29.0,0.009171215063395235,29.0,0.23189009159034135,29.0,0.007485832047582455,29.0,0.2172284644194757
30,30.0,0.008947208703268353,30.0,0.23189009159034135,30.0,0.007641014030852009,30.0,0.2172284644194757
31,31.0,0.00871268735252876,31.0,0.23189009159034135,31.0,0.0073611167266490534,31.0,0.2172284644194757
32,32.0,0.008825744341242342,32.0,0.23189009159034135,32.0,0.007480532518668233,32.0,0.2172284644194757
33,33.0,0.008595052550544498,33.0,0.23189009159034135,33.0,0.007488316265091802,33.0,0.2172284644194757
34,34.0,0.008934908271705162,34.0,0.23189009159034135,34.0,0.00764140205227592,34.0,0.2172284644194757
35,35.0,0.008554423270895565,35.0,0.23189009159034135,35.0,0.0074376576642893,35.0,0.2172284644194757
36,36.0,0.008781833448551973,36.0,0.23189009159034135,36.0,0.0076366876974032155,36.0,0.2172284644194757
37,37.0,0.008718887199961785,37.0,0.23189009159034135,37.0,0.007603647921597131,37.0,0.2172284644194757
38,38.0,0.00878511320995004,38.0,0.23189009159034135,38.0,0.007421130304005039,38.0,0.2172284644194757
39,39.0,0.008734142379858511,39.0,0.23189009159034135,39.0,0.007512940440940834,39.0,0.2172284644194757
40,40.0,0.008586022911371245,40.0,0.23189009159034135,40.0,0.00755822714174006,40.0,0.2172284644194757
41,41.0,0.00854802252110218,41.0,0.23189009159034135,41.0,0.007535997823522555,41.0,0.2172284644194757
42,42.0,0.008661842898393576,42.0,0.23189009159034135,42.0,0.007516765701915887,42.0,0.2172284644194757
43,43.0,0.008450292005862026,43.0,0.23189009159034135,43.0,0.00757863133106283,43.0,0.2172284644194757
44,44.0,0.008532884538671518,44.0,0.23189009159034135,44.0,0.007441423951965594,44.0,0.2172284644194757
45,45.0,0.008350951664171474,45.0,0.23189009159034135,45.0,0.007414629974154831,45.0,0.2172284644194757
46,46.0,0.008541460407992436,46.0,0.23189009159034135,46.0,0.007552232945596011,46.0,0.2172284644194757
47,47.0,0.009583284340172287,47.0,0.23189009159034135,47.0,0.00777194280288974,47.0,0.2172284644194757
48,48.0,0.008591430900706836,48.0,0.23189009159034135,48.0,0.007418132580691173,48.0,0.2172284644194757
49,49.0,0.00855801312030323,49.0,0.23189009159034135,49.0,0.007431284684952948,49.0,0.2172284644194757
50,50.0,0.008360138360760272,50.0,0.23189009159034135,50.0,0.0074444656113811436,50.0,0.2172284644194757
51,51.0,0.008243722410765566,51.0,0.23189009159034135,51.0,0.007659964308784472,51.0,0.2172284644194757
52,52.0,0.008578725820002095,52.0,0.23189009159034135,52.0,0.0075347166637495895,52.0,0.2172284644194757
53,53.0,0.008068529490209328,53.0,0.23189009159034135,53.0,0.007608245590820295,53.0,0.2172284644194757
54,54.0,0.008138653033313735,54.0,0.23189009159034135,54.0,0.007640895288967795,54.0,0.2172284644194757
55,55.0,0.008278379810086686,55.0,0.23189009159034135,55.0,0.0075112988750279394,55.0,0.2172284644194757
56,56.0,0.008208261267727956,56.0,0.23189009159034135,56.0,0.0077244295068922345,56.0,0.2172284644194757
57,57.0,0.008905533673071134,57.0,0.23189009159034135,57.0,0.00762003648168083,57.0,0.2172284644194757
58,58.0,0.008129858548425722,58.0,0.23189009159034135,58.0,0.007703004129342595,58.0,0.2172284644194757
59,59.0,0.008176200216202582,59.0,0.23189009159034135,59.0,0.007917333348943723,59.0,0.2172284644194757
60,60.0,0.008173971344638526,60.0,0.23189009159034135,60.0,0.007766912401782885,60.0,0.2172284644194757
61,61.0,0.00825491127403737,61.0,0.23189009159034135,61.0,0.0076105245929699705,61.0,0.2172284644194757
62,62.0,0.008185631976688559,62.0,0.23189009159034135,62.0,0.0076928248799890825,62.0,0.2172284644194757
