Index,RR
0,1.23192173093557
1,1.23675846755505
2,1.73248536139727
3,2.17868409231305
4,1.54448743611574
5,2.78348075076938
6,1.7719354018569
7,2.17379721328616
8,3.22246047928929
9,2.05508556514978
10,1.89242509976029
11,1.9993282109499
12,1.38658799231052
13,5.08697631508112
14,1.36848758608103
15,2.92469781562686
16,74.27411891222
17,11.1180639624596
18,3.45396245867014
19,5.48729674890637
20,2.96410724073648
21,7.10244887694716
22,2.52627126052976
23,1.66183170080185
24,5.93444718271494
25,1.80523296892643
26,1.71830408573151
27,1.90821945667267
28,2.20770852342248
29,2.23517452850938
30,3.39410546123981
31,3.86911100521684
32,4.47307780683041
33,4.36943996921182
34,4.74091698601842
35,3.05473462790251
36,2.29151152893901
37,3.45187051743269
38,10.4781435504556
39,4.19495993554592
40,16.5692576766014
41,14.0159180402756
42,8.80036856979132
43,6.39592280089855
44,6.6547528937459
45,10.0958778932691
46,2.17497505843639
47,2.27064978033304
48,5.2466899111867
49,6.40316085740924
50,2.27926474735141
51,11.3368784084916
52,5.89626925513148
53,6.6605152592063
54,6.96704281568527
55,7.23039224371314
56,3.14836353957653
57,7.40773942023516
58,2.89156321138144
59,4.1602137543261
60,4.79674604386091
61,6.3453561887145
62,7.17263019606471
63,7.91601645722985
64,9.06483166068792
65,11.2342358976603
66,10.9714977055788
67,4.52823545783758
68,4.48836722970009
69,14.5519724667072
70,11.1371311143041
71,1.78095702379942
72,17.6347417145967
73,6.6736510656774
74,42.9363578081131
75,78.3047742128372
76,6.63865116387606
77,6.05563386008143
78,11.7085640177131
79,6.3098894611001
80,3.64868448078632
81,5.07108418047428
82,4.08355002477765
83,2.34665112867951
84,2.38960562199354
85,5.24904209151864
86,5.52492511570454
87,2.05611298307776
88,2.15823902711272
89,2.61886172294617
90,3.19313770085573
91,3.84202156960964
92,3.44339745342731
93,4.37795665711164
94,11.1329843372107
95,5.60978111177683
96,3.79053133428097
97,3.55890450030565
98,4.57539088204503
99,3.41254432871938
100,1.80157959312201
101,3.25291296616197
102,3.21355769485235
103,2.76957726404071
104,3.26994333341718
105,7.35818267613649
106,3.11431885063648
107,9.87198502421379
108,1.815620470047
109,1.73332574814558
110,10.6171142354608
111,2.31343930512667
112,2.09606996327639
113,4.91370671913028
114,4.77173400819302
115,2.22721542418003
116,1.39821501374245
117,3.65060794353485
118,2.75406721457839
119,3.14141630902886
120,8.31890618801117
121,8.35790444537997
122,1.4031841263175
123,3.98098423182964
124,6.9427272580564
125,5.2608606569469
126,4.05810977295041
127,2.94453164488077
128,3.10739669129252
129,1.92919954136014
130,2.00649556666613
131,3.58041609451175
132,1.09425374567509
133,0.888266730308533
134,2.68890765756369
135,1.50479370355606
136,-0.508520227670669
137,1.83233293443918
138,1.40213514715433
139,1.39558354020119
140,0.66040960252285
141,0.621122023463249
142,0.891300345957279
143,-0.705783466994762
144,0.447811812162399
145,0.440755772590637
146,2.07735932394862
