,Tn,Tx,Tavg,RH_avg,ff_x,ddd_x,ddd_car,bulan,RH_avg_5day,RH1,RH2,RH3,ff_x1,ff_x2,ff_x3,RR_avg5_day,RR1,RR2,RR3,RR
815,24.8,31.2,28.0,76.0,7.0,130.0,4,5,82.8,86.0,82.0,78.0,8.0,7.0,8.0,18.72,1.0,3.7,0.0,0.0
816,23.6,30.4,26.8,83.0,6.0,160.0,4,5,81.8,82.0,78.0,76.0,7.0,8.0,7.0,18.42,3.7,0.0,0.0,0.0
817,23.8,30.8,27.0,81.0,8.0,50.0,3,5,81.0,78.0,76.0,83.0,8.0,7.0,6.0,0.94,0.0,0.0,0.0,0.0
818,24.8,28.6,25.8,93.0,10.0,150.0,8,5,80.0,76.0,83.0,81.0,7.0,6.0,8.0,0.74,0.0,0.0,0.0,3.8
819,24.4,30.8,26.8,87.0,7.0,190.0,6,5,82.2,83.0,81.0,93.0,6.0,8.0,10.0,0.76,0.0,0.0,3.8,52.2
820,23.8,30.8,27.3,86.0,6.0,140.0,2,5,84.0,81.0,93.0,87.0,8.0,10.0,7.0,11.2,0.0,3.8,52.2,9.0
821,24.6,32.4,28.2,83.0,5.0,90.0,4,5,86.0,93.0,87.0,86.0,10.0,7.0,6.0,13.0,3.8,52.2,9.0,23.2
822,25.1,32.1,28.3,83.0,6.0,120.0,8,5,86.0,87.0,86.0,83.0,7.0,6.0,5.0,17.64,52.2,9.0,23.2,0.4
823,24.4,31.4,28.4,83.0,6.0,120.0,4,5,86.4,86.0,83.0,83.0,6.0,5.0,6.0,17.72,9.0,23.2,0.4,3.0
824,25.0,32.0,28.0,82.0,11.0,110.0,3,5,84.4,83.0,83.0,83.0,5.0,6.0,6.0,17.56,23.2,0.4,3.0,0.0
825,24.8,30.6,28.3,82.0,10.0,130.0,3,5,83.4,83.0,83.0,82.0,6.0,6.0,11.0,7.12,0.4,3.0,0.0,34.8
826,26.6,30.8,27.8,79.0,9.0,130.0,4,5,82.6,83.0,82.0,82.0,6.0,11.0,10.0,12.28,3.0,0.0,34.8,3.4
827,24.5,31.0,27.2,77.0,9.0,130.0,3,5,81.8,82.0,82.0,79.0,11.0,10.0,9.0,8.32,0.0,34.8,3.4,0.0
828,24.6,30.1,26.8,80.0,11.0,100.0,4,5,80.6,82.0,79.0,77.0,10.0,9.0,9.0,8.24,34.8,3.4,0.0,0.0
829,24.6,30.2,27.7,76.0,11.0,110.0,2,5,80.0,79.0,77.0,80.0,9.0,9.0,11.0,7.64,3.4,0.0,0.0,0.0
830,24.0,30.4,26.8,79.0,10.0,130.0,3,5,78.8,77.0,80.0,76.0,9.0,11.0,11.0,7.64,0.0,0.0,0.0,0.0
831,23.8,30.1,26.4,81.0,7.0,90.0,4,5,78.2,80.0,76.0,79.0,11.0,11.0,10.0,0.68,0.0,0.0,0.0,0.0
832,24.0,30.0,26.6,86.0,9.0,110.0,3,5,78.6,76.0,79.0,81.0,11.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0
833,24.8,29.6,26.9,82.0,10.0,110.0,3,5,80.4,79.0,81.0,86.0,10.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0
834,25.6,30.0,27.3,79.0,9.0,130.0,3,5,80.8,81.0,86.0,82.0,7.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0
835,24.5,30.0,26.7,82.0,6.0,120.0,3,5,81.4,86.0,82.0,79.0,9.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0
836,24.7,29.6,26.7,83.0,8.0,120.0,3,5,82.0,82.0,79.0,82.0,10.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0
837,25.4,30.2,27.4,81.0,8.0,130.0,3,6,82.4,79.0,82.0,83.0,9.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0
838,24.0,29.8,26.2,81.0,8.0,120.0,3,6,81.4,82.0,83.0,81.0,6.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
839,24.2,29.6,26.4,80.0,8.0,105.0,3,6,81.2,83.0,81.0,81.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
840,24.8,29.2,26.3,84.0,8.0,130.0,4,6,81.4,81.0,81.0,80.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
841,23.0,28.6,25.8,83.0,6.0,110.0,3,6,81.8,81.0,80.0,84.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
842,24.0,29.9,26.7,84.0,8.0,210.0,4,6,81.8,80.0,84.0,83.0,8.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0
843,23.5,31.0,26.4,88.0,4.0,130.0,3,6,82.4,84.0,83.0,84.0,8.0,6.0,8.0,0.0,0.0,0.0,0.0,6.6
844,23.6,31.6,27.5,87.0,6.0,120.0,3,6,83.8,83.0,84.0,88.0,6.0,8.0,4.0,1.32,0.0,0.0,6.6,0.0
845,25.0,30.8,27.9,86.0,6.0,120.0,4,6,85.2,84.0,88.0,87.0,8.0,4.0,6.0,1.32,0.0,6.6,0.0,0.0
846,25.7,30.9,27.6,85.0,6.0,120.0,4,6,85.6,88.0,87.0,86.0,4.0,6.0,6.0,1.32,6.6,0.0,0.0,0.0
847,25.8,31.1,27.2,84.0,6.0,120.0,4,6,86.0,87.0,86.0,85.0,6.0,6.0,6.0,1.32,0.0,0.0,0.0,0.7444444440000001
848,25.2,31.1,27.4,82.0,5.0,100.0,3,6,86.0,86.0,85.0,84.0,6.0,6.0,6.0,1.468888889,0.0,0.0,0.7444444440000001,0.3
849,25.6,31.2,27.9,80.0,8.0,100.0,4,6,84.8,85.0,84.0,82.0,6.0,6.0,5.0,0.208888889,0.0,0.7444444440000001,0.3,0.9
850,24.6,30.0,26.7,82.0,7.0,140.0,4,6,83.4,84.0,82.0,80.0,6.0,5.0,8.0,0.38888888899999996,0.7444444440000001,0.3,0.9,0.0
851,22.7,30.0,25.9,79.0,7.0,110.0,3,6,82.6,82.0,80.0,82.0,5.0,8.0,7.0,0.38888888899999996,0.3,0.9,0.0,0.0
852,22.6,30.0,26.1,80.0,8.0,130.0,4,6,81.4,80.0,82.0,79.0,8.0,7.0,7.0,0.38888888899999996,0.9,0.0,0.0,0.0
853,23.6,31.0,26.6,82.0,7.0,100.0,4,6,80.6,82.0,79.0,80.0,7.0,7.0,8.0,0.24,0.0,0.0,0.0,5.0
854,24.3,30.8,27.3,82.0,9.0,130.0,4,6,80.6,79.0,80.0,82.0,7.0,8.0,7.0,1.18,0.0,0.0,5.0,2.5
855,23.6,30.2,27.1,80.0,12.0,120.0,3,6,81.0,80.0,82.0,82.0,8.0,7.0,9.0,1.5,0.0,5.0,2.5,0.0
856,25.3,30.2,27.4,83.0,8.0,120.0,3,6,80.6,82.0,82.0,80.0,7.0,9.0,12.0,1.5,5.0,2.5,0.0,0.2
857,24.8,30.4,27.4,84.0,8.0,120.0,4,6,81.4,82.0,80.0,83.0,9.0,12.0,8.0,1.54,2.5,0.0,0.2,0.0
858,25.0,30.3,27.1,80.0,9.0,130.0,4,6,82.2,80.0,83.0,84.0,12.0,8.0,8.0,1.54,0.0,0.2,0.0,2.4
859,25.2,29.4,27.3,77.0,9.0,120.0,4,6,81.8,83.0,84.0,80.0,8.0,8.0,9.0,1.02,0.2,0.0,2.4,0.0
